IncidentNumber,Dowgate,Euston,Holloway,Islington,Kentish Town,Paddington,Soho,West Hampstead
117796-31082017,0.03,0.03,0.05,0.03,0.06,0.07,0.03,0.11
117797-31082017,0.11,0.14,0.09,0.10,0.12,0.20,0.15,0.18
117805-31082017,0.07,0.01,0.05,0.04,0.02,0.06,0.03,0.07
117815-31082017,0.16,0.18,0.14,0.14,0.17,0.24,0.20,0.22
117816-31082017,0.27,0.21,0.19,0.23,0.18,0.17,0.23,0.13
117819-31082017,0.12,0.06,0.07,0.08,0.04,0.04,0.08,0.02
117828-31082017,0.10,0.12,0.07,0.08,0.10,0.18,0.13,0.16
117830-31082017,0.12,0.06,0.07,0.07,0.04,0.03,0.07,0.03
117831-31082017,0.11,0.05,0.09,0.08,0.05,0.02,0.06,0.04
117853-31082017,0.19,0.13,0.11,0.15,0.09,0.09,0.15,0.04
117862-31082017,0.19,0.13,0.11,0.14,0.10,0.17,0.14,0.15
117865-31082017,0.05,0.03,0.08,0.07,0.05,0.06,0.01,0.10
117874-31082017,0.24,0.18,0.16,0.20,0.14,0.14,0.20,0.12
117884-31082017,0.09,0.04,0.05,0.05,0.02,0.06,0.05,0.05
117888-31082017,0.03,0.03,0.04,0.01,0.06,0.09,0.05,0.11
117891-31082017,0.08,0.02,0.03,0.04,0.01,0.07,0.04,0.06
117892-31082017,0.10,0.04,0.06,0.06,0.03,0.05,0.06,0.05
117910-31082017,0.07,0.03,0.08,0.07,0.04,0.04,0.03,0.08
117913-31082017,0.16,0.19,0.14,0.15,0.17,0.25,0.20,0.23
117916-31082017,0.08,0.02,0.05,0.04,0.01,0.06,0.04,0.06
117936-31082017,0.07,0.03,0.08,0.08,0.05,0.03,0.03,0.07
117946-31082017,0.07,0.03,0.08,0.07,0.05,0.04,0.02,0.08
117960-31082017,0.09,0.03,0.06,0.05,0.02,0.05,0.05,0.06
117966-31082017,0.05,0.02,0.07,0.06,0.05,0.06,0.00,0.10
117970-31082017,0.09,0.03,0.08,0.07,0.05,0.03,0.05,0.06
117972-31082017,0.07,0.04,0.09,0.08,0.05,0.03,0.03,0.07
117995-31082017,0.14,0.17,0.12,0.13,0.15,0.23,0.18,0.20
118007-31082017,0.20,0.22,0.17,0.18,0.21,0.28,0.24,0.26
118012-31082017,0.21,0.15,0.13,0.17,0.12,0.11,0.17,0.07
118034-31082017,0.23,0.25,0.20,0.21,0.24,0.31,0.27,0.29
118070-31082017,0.10,0.07,0.02,0.06,0.05,0.13,0.08,0.10
118076-31082017,0.11,0.05,0.06,0.07,0.03,0.05,0.07,0.04
118086-31082017,0.05,0.01,0.04,0.03,0.04,0.07,0.03,0.09
118095-01092017,0.09,0.05,0.09,0.09,0.06,0.02,0.05,0.06
118125-01092017,0.04,0.02,0.06,0.05,0.05,0.06,0.01,0.10
118129-01092017,0.09,0.11,0.06,0.07,0.10,0.17,0.13,0.15
118133-01092017,0.04,0.02,0.07,0.06,0.05,0.06,0.01,0.10
118161-01092017,0.08,0.10,0.05,0.06,0.08,0.16,0.11,0.14
118165-01092017,0.14,0.08,0.13,0.12,0.09,0.03,0.09,0.04
118179-01092017,0.07,0.02,0.02,0.02,0.03,0.08,0.04,0.08
118215-01092017,0.02,0.04,0.06,0.02,0.07,0.09,0.04,0.12
118237-01092017,0.10,0.04,0.07,0.06,0.03,0.04,0.06,0.05
118248-01092017,0.21,0.15,0.13,0.17,0.12,0.11,0.17,0.07
118253-01092017,0.03,0.03,0.05,0.03,0.06,0.07,0.03,0.11
118278-01092017,0.11,0.05,0.03,0.06,0.03,0.11,0.06,0.09
118302-01092017,0.11,0.05,0.03,0.06,0.01,0.09,0.06,0.07
118333-01092017,0.04,0.02,0.07,0.06,0.06,0.07,0.01,0.11
118340-01092017,0.04,0.02,0.04,0.03,0.05,0.07,0.03,0.10
118341-01092017,0.11,0.07,0.03,0.07,0.05,0.13,0.08,0.11
118360-01092017,0.17,0.11,0.09,0.13,0.08,0.07,0.13,0.03
118364-01092017,0.07,0.06,0.01,0.03,0.05,0.12,0.08,0.10
118382-01092017,0.06,0.01,0.06,0.05,0.03,0.05,0.02,0.08
118410-01092017,0.09,0.03,0.05,0.05,0.02,0.06,0.05,0.06
118415-01092017,0.05,0.03,0.08,0.07,0.05,0.06,0.01,0.10
118419-01092017,0.06,0.02,0.07,0.06,0.04,0.05,0.01,0.09
118446-01092017,0.21,0.15,0.13,0.17,0.12,0.11,0.17,0.07
118450-01092017,0.04,0.02,0.06,0.05,0.05,0.06,0.00,0.10
118476-01092017,0.06,0.01,0.06,0.05,0.04,0.05,0.02,0.09
118486-01092017,0.13,0.07,0.06,0.09,0.03,0.05,0.09,0.02
118487-01092017,0.06,0.04,0.09,0.08,0.05,0.05,0.02,0.09
118494-01092017,0.06,0.01,0.06,0.05,0.03,0.05,0.02,0.08
118496-01092017,0.16,0.10,0.08,0.11,0.06,0.07,0.11,0.04
118523-01092017,0.07,0.05,0.10,0.09,0.06,0.05,0.03,0.09
118528-01092017,0.04,0.02,0.03,0.02,0.05,0.08,0.04,0.10
118534-01092017,0.07,0.06,0.01,0.03,0.05,0.12,0.08,0.10
118535-01092017,0.06,0.02,0.06,0.06,0.04,0.04,0.02,0.09
118544-01092017,0.06,0.01,0.06,0.05,0.04,0.05,0.02,0.09
118554-01092017,0.15,0.09,0.10,0.11,0.07,0.05,0.11,0.01
118604-02092017,0.09,0.03,0.05,0.05,0.01,0.06,0.05,0.05
118654-02092017,0.04,0.05,0.04,0.01,0.05,0.11,0.06,0.10
118657-02092017,0.06,0.03,0.08,0.07,0.07,0.08,0.02,0.12
118659-02092017,0.07,0.03,0.08,0.07,0.04,0.04,0.03,0.08
118664-02092017,0.09,0.04,0.05,0.05,0.02,0.06,0.05,0.05
118687-02092017,0.04,0.03,0.04,0.01,0.06,0.09,0.04,0.11
118690-02092017,0.12,0.07,0.11,0.11,0.08,0.02,0.08,0.03
118698-02092017,0.09,0.11,0.06,0.07,0.10,0.17,0.13,0.15
118701-02092017,0.09,0.11,0.06,0.07,0.10,0.17,0.13,0.15
118702-02092017,0.05,0.03,0.08,0.07,0.07,0.08,0.02,0.12
118712-02092017,0.10,0.04,0.02,0.05,0.02,0.10,0.05,0.07
118732-02092017,0.12,0.14,0.09,0.10,0.13,0.20,0.16,0.18
118739-02092017,0.12,0.15,0.10,0.10,0.13,0.21,0.16,0.18
118740-02092017,0.08,0.03,0.05,0.05,0.02,0.05,0.04,0.06
118770-02092017,0.12,0.09,0.04,0.08,0.07,0.15,0.10,0.13
118782-02092017,0.06,0.03,0.08,0.07,0.07,0.08,0.02,0.12
118799-02092017,0.03,0.03,0.06,0.05,0.06,0.07,0.01,0.11
118808-02092017,0.09,0.05,0.10,0.09,0.06,0.01,0.05,0.05
118818-02092017,0.15,0.09,0.07,0.11,0.06,0.13,0.11,0.11
118822-02092017,0.12,0.06,0.05,0.07,0.02,0.06,0.07,0.03
118854-02092017,0.08,0.03,0.08,0.07,0.04,0.03,0.04,0.06
118858-02092017,0.15,0.17,0.12,0.13,0.15,0.23,0.18,0.21
118898-02092017,0.27,0.22,0.20,0.23,0.18,0.17,0.23,0.13
118941-02092017,0.10,0.07,0.12,0.11,0.08,0.01,0.06,0.05
118946-02092017,0.10,0.04,0.07,0.06,0.04,0.04,0.06,0.04
118959-02092017,0.06,0.03,0.07,0.07,0.04,0.04,0.02,0.08
118969-02092017,0.11,0.05,0.06,0.07,0.02,0.05,0.07,0.04
118983-02092017,0.19,0.13,0.11,0.14,0.09,0.15,0.14,0.12
118994-02092017,0.07,0.04,0.09,0.08,0.05,0.03,0.03,0.07
119000-02092017,0.08,0.10,0.05,0.06,0.09,0.16,0.12,0.14
119022-02092017,0.09,0.11,0.06,0.07,0.09,0.17,0.12,0.15
119047-03092017,0.04,0.01,0.06,0.05,0.05,0.06,0.00,0.10
119073-03092017,0.02,0.04,0.06,0.02,0.07,0.10,0.05,0.12
119084-03092017,0.12,0.06,0.06,0.07,0.02,0.05,0.07,0.03
119089-03092017,0.02,0.04,0.06,0.03,0.08,0.10,0.06,0.13
119102-03092017,0.06,0.03,0.08,0.07,0.05,0.05,0.02,0.10
119125-03092017,0.04,0.02,0.07,0.06,0.05,0.06,0.00,0.10
119131-03092017,0.08,0.06,0.11,0.10,0.07,0.06,0.04,0.10
119148-03092017,0.20,0.14,0.12,0.15,0.10,0.10,0.15,0.08
119149-03092017,0.08,0.06,0.11,0.10,0.08,0.07,0.05,0.11
119155-03092017,0.09,0.12,0.07,0.08,0.10,0.18,0.13,0.16
119191-03092017,0.10,0.04,0.05,0.05,0.02,0.06,0.05,0.05
119210-03092017,0.09,0.04,0.09,0.08,0.05,0.02,0.05,0.06
119225-03092017,0.07,0.03,0.08,0.07,0.05,0.03,0.03,0.07
119237-03092017,0.30,0.24,0.22,0.25,0.20,0.19,0.25,0.15
119241-03092017,0.04,0.03,0.07,0.06,0.07,0.08,0.02,0.12
119256-03092017,0.17,0.11,0.09,0.12,0.09,0.17,0.12,0.14
119267-03092017,0.04,0.02,0.05,0.05,0.06,0.06,0.01,0.11
119303-03092017,0.08,0.03,0.04,0.04,0.01,0.07,0.04,0.06
119324-03092017,0.07,0.01,0.06,0.05,0.02,0.05,0.03,0.07
119358-03092017,0.05,0.02,0.07,0.06,0.05,0.06,0.01,0.10
119360-03092017,0.16,0.18,0.13,0.14,0.17,0.24,0.20,0.22
119379-03092017,0.06,0.02,0.07,0.06,0.03,0.04,0.02,0.08
119394-03092017,0.15,0.17,0.13,0.13,0.16,0.23,0.19,0.21
119413-03092017,0.14,0.17,0.12,0.13,0.15,0.23,0.18,0.20
119437-03092017,0.06,0.02,0.07,0.06,0.03,0.04,0.02,0.08
119450-03092017,0.16,0.14,0.09,0.11,0.12,0.20,0.15,0.18
119514-04092017,0.06,0.03,0.08,0.07,0.05,0.05,0.02,0.10
119526-04092017,0.05,0.03,0.08,0.07,0.06,0.07,0.02,0.11
119527-04092017,0.18,0.20,0.15,0.16,0.19,0.26,0.22,0.24
119532-04092017,0.03,0.03,0.05,0.05,0.07,0.08,0.02,0.12
119536-04092017,0.10,0.05,0.08,0.07,0.04,0.03,0.06,0.04
119537-04092017,0.19,0.14,0.12,0.15,0.10,0.09,0.15,0.05
119544-04092017,0.10,0.05,0.08,0.07,0.04,0.03,0.06,0.04
119546-04092017,0.06,0.04,0.09,0.08,0.05,0.05,0.02,0.09
119551-04092017,0.25,0.19,0.17,0.20,0.15,0.14,0.20,0.10
119560-04092017,0.10,0.05,0.08,0.07,0.04,0.03,0.06,0.04
119572-04092017,0.13,0.16,0.11,0.12,0.14,0.22,0.17,0.19
119577-04092017,0.08,0.03,0.08,0.07,0.04,0.03,0.04,0.06
119585-04092017,0.17,0.17,0.12,0.13,0.15,0.23,0.18,0.20
119605-04092017,0.02,0.04,0.05,0.02,0.07,0.08,0.03,0.12
119607-04092017,0.02,0.05,0.07,0.03,0.08,0.10,0.05,0.13
119617-04092017,0.17,0.19,0.14,0.15,0.18,0.25,0.21,0.23
119624-04092017,0.05,0.01,0.04,0.03,0.05,0.07,0.03,0.10
119628-04092017,0.04,0.05,0.04,0.01,0.05,0.11,0.06,0.10
119630-04092017,0.12,0.06,0.06,0.08,0.02,0.05,0.08,0.03
119632-04092017,0.10,0.05,0.08,0.07,0.04,0.03,0.06,0.04
119647-04092017,0.14,0.08,0.10,0.09,0.07,0.03,0.09,0.01
119657-04092017,0.05,0.02,0.07,0.06,0.05,0.06,0.01,0.10
119659-04092017,0.04,0.02,0.06,0.06,0.05,0.06,0.00,0.10
119683-04092017,0.11,0.14,0.09,0.10,0.12,0.20,0.15,0.18
119693-04092017,0.05,0.03,0.08,0.07,0.05,0.05,0.02,0.10
119707-04092017,0.03,0.03,0.05,0.03,0.07,0.08,0.02,0.12
119714-04092017,0.07,0.02,0.07,0.06,0.04,0.04,0.03,0.08
119722-04092017,0.16,0.19,0.14,0.15,0.17,0.25,0.20,0.23
119732-04092017,0.10,0.04,0.02,0.05,0.02,0.09,0.05,0.07
119742-04092017,0.20,0.14,0.12,0.15,0.10,0.09,0.15,0.05
119746-04092017,0.09,0.04,0.05,0.05,0.02,0.06,0.05,0.05
119752-04092017,0.03,0.03,0.05,0.02,0.07,0.09,0.05,0.12
119753-04092017,0.14,0.08,0.06,0.10,0.05,0.06,0.10,0.03
119780-04092017,0.10,0.12,0.07,0.08,0.11,0.18,0.13,0.16
119794-04092017,0.07,0.10,0.05,0.05,0.08,0.16,0.11,0.13
119814-04092017,0.09,0.05,0.10,0.09,0.06,0.01,0.05,0.05
119824-04092017,0.09,0.07,0.02,0.05,0.06,0.13,0.09,0.11
119829-04092017,0.15,0.17,0.12,0.13,0.16,0.23,0.19,0.21
119848-04092017,0.21,0.15,0.13,0.17,0.11,0.11,0.17,0.06
119862-04092017,0.09,0.04,0.01,0.05,0.03,0.10,0.05,0.08
119863-04092017,0.08,0.05,0.00,0.04,0.03,0.11,0.06,0.09
119864-04092017,0.17,0.17,0.12,0.13,0.15,0.23,0.18,0.20
119907-04092017,0.10,0.04,0.08,0.07,0.04,0.03,0.06,0.04
119912-05092017,0.04,0.02,0.06,0.06,0.05,0.06,0.00,0.10
119924-05092017,0.11,0.09,0.04,0.06,0.08,0.15,0.11,0.13
119979-05092017,0.06,0.03,0.08,0.08,0.06,0.07,0.02,0.11
119982-05092017,0.13,0.15,0.10,0.11,0.14,0.21,0.17,0.19
119983-05092017,0.30,0.24,0.22,0.26,0.20,0.20,0.26,0.15
119993-05092017,0.14,0.09,0.07,0.10,0.05,0.06,0.10,0.04
120005-05092017,0.14,0.08,0.13,0.12,0.09,0.03,0.09,0.04
120007-05092017,0.17,0.17,0.12,0.13,0.15,0.23,0.18,0.20
120015-05092017,0.06,0.04,0.08,0.08,0.07,0.08,0.02,0.12
120016-05092017,0.05,0.02,0.07,0.06,0.04,0.05,0.01,0.09
120020-05092017,0.12,0.06,0.11,0.10,0.08,0.01,0.07,0.03
120026-05092017,0.11,0.05,0.09,0.08,0.05,0.02,0.06,0.04
120031-05092017,0.12,0.06,0.06,0.08,0.02,0.05,0.08,0.03
120033-05092017,0.23,0.18,0.16,0.19,0.14,0.13,0.19,0.09
120036-05092017,0.09,0.11,0.07,0.07,0.10,0.17,0.13,0.15
120044-05092017,0.04,0.02,0.06,0.06,0.05,0.06,0.00,0.10
120048-05092017,0.15,0.09,0.09,0.11,0.06,0.05,0.11,0.01
120052-05092017,0.14,0.08,0.09,0.10,0.05,0.04,0.10,0.01
120055-05092017,0.06,0.00,0.05,0.04,0.04,0.06,0.02,0.09
120077-05092017,0.11,0.14,0.09,0.10,0.12,0.20,0.15,0.18
120081-05092017,0.12,0.06,0.08,0.08,0.04,0.03,0.08,0.02
120091-05092017,0.20,0.14,0.12,0.15,0.10,0.09,0.15,0.05
120093-05092017,0.14,0.08,0.06,0.10,0.05,0.07,0.10,0.05
120107-05092017,0.11,0.13,0.08,0.09,0.11,0.19,0.14,0.17
120113-05092017,0.25,0.19,0.17,0.20,0.15,0.14,0.20,0.10
120125-05092017,0.19,0.13,0.11,0.15,0.09,0.10,0.15,0.08
120132-05092017,0.09,0.03,0.05,0.05,0.02,0.06,0.04,0.06
120139-05092017,0.02,0.03,0.05,0.02,0.07,0.08,0.04,0.12
120162-05092017,0.08,0.03,0.06,0.05,0.02,0.05,0.04,0.06
120169-05092017,0.05,0.01,0.03,0.03,0.04,0.07,0.03,0.09
120170-05092017,0.05,0.03,0.07,0.06,0.06,0.07,0.01,0.11
120175-05092017,0.16,0.11,0.08,0.12,0.09,0.17,0.12,0.15
120199-05092017,0.10,0.05,0.03,0.06,0.02,0.09,0.06,0.07
120203-05092017,0.08,0.03,0.02,0.04,0.01,0.09,0.04,0.06
120217-05092017,0.05,0.03,0.07,0.07,0.04,0.05,0.01,0.09
120229-05092017,0.08,0.03,0.02,0.04,0.02,0.09,0.04,0.07
120254-05092017,0.11,0.06,0.11,0.10,0.08,0.01,0.07,0.03
120274-05092017,0.05,0.01,0.05,0.04,0.04,0.06,0.01,0.09
120277-05092017,0.17,0.17,0.12,0.13,0.15,0.23,0.18,0.20
120282-05092017,0.07,0.05,0.10,0.09,0.06,0.06,0.03,0.10
120290-05092017,0.12,0.06,0.06,0.08,0.02,0.05,0.08,0.03
120295-05092017,0.03,0.03,0.05,0.02,0.06,0.08,0.03,0.11
120297-05092017,0.17,0.17,0.12,0.13,0.15,0.23,0.18,0.20
120331-05092017,0.10,0.04,0.08,0.08,0.05,0.02,0.06,0.05
120358-06092017,0.13,0.08,0.06,0.09,0.04,0.11,0.09,0.09
120364-06092017,0.09,0.06,0.01,0.04,0.05,0.12,0.07,0.10
120373-06092017,0.12,0.06,0.11,0.10,0.08,0.01,0.07,0.03
120382-06092017,0.05,0.02,0.07,0.06,0.05,0.05,0.01,0.10
120403-06092017,0.05,0.03,0.08,0.07,0.05,0.05,0.01,0.10
120410-06092017,0.05,0.05,0.02,0.01,0.04,0.11,0.06,0.09
120411-06092017,0.22,0.16,0.14,0.18,0.13,0.12,0.18,0.08
120412-06092017,0.05,0.03,0.08,0.07,0.04,0.05,0.01,0.09
120423-06092017,0.07,0.04,0.09,0.09,0.06,0.06,0.03,0.10
120424-06092017,0.05,0.01,0.04,0.03,0.05,0.07,0.02,0.10
120442-06092017,0.08,0.04,0.09,0.08,0.05,0.02,0.04,0.06
120448-06092017,0.08,0.03,0.03,0.04,0.01,0.08,0.04,0.06
120452-06092017,0.04,0.01,0.06,0.05,0.05,0.06,0.01,0.10
120466-06092017,0.04,0.02,0.04,0.03,0.05,0.07,0.03,0.10
120479-06092017,0.05,0.03,0.07,0.07,0.07,0.08,0.02,0.12
120489-06092017,0.04,0.02,0.05,0.04,0.05,0.06,0.02,0.10
120508-06092017,0.08,0.06,0.11,0.10,0.08,0.04,0.05,0.08
120511-06092017,0.10,0.09,0.04,0.06,0.08,0.15,0.11,0.13
120521-06092017,0.07,0.02,0.03,0.03,0.02,0.08,0.03,0.07
120531-06092017,0.14,0.08,0.06,0.10,0.04,0.07,0.10,0.04
120545-06092017,0.05,0.02,0.07,0.06,0.05,0.06,0.01,0.10
120556-06092017,0.10,0.08,0.13,0.12,0.09,0.02,0.06,0.04
120562-06092017,0.11,0.11,0.06,0.07,0.10,0.17,0.13,0.15
120572-06092017,0.05,0.03,0.08,0.07,0.05,0.05,0.02,0.10
120578-06092017,0.03,0.03,0.06,0.05,0.06,0.07,0.01,0.11
120582-06092017,0.04,0.01,0.05,0.04,0.05,0.06,0.02,0.10
120643-06092017,0.13,0.11,0.06,0.09,0.10,0.17,0.13,0.15
120644-06092017,0.05,0.03,0.08,0.07,0.04,0.05,0.01,0.09
120683-06092017,0.03,0.03,0.05,0.04,0.07,0.08,0.02,0.12
120704-06092017,0.07,0.04,0.09,0.08,0.06,0.03,0.03,0.07
120711-06092017,0.15,0.09,0.08,0.10,0.05,0.04,0.10,0.00
120720-06092017,0.16,0.11,0.08,0.12,0.09,0.17,0.12,0.15
120742-07092017,0.06,0.04,0.09,0.08,0.05,0.04,0.02,0.08
120761-07092017,0.17,0.17,0.12,0.13,0.15,0.23,0.18,0.20
120776-07092017,0.06,0.02,0.07,0.06,0.04,0.05,0.01,0.09
120781-07092017,0.15,0.17,0.12,0.13,0.16,0.23,0.19,0.21
120787-07092017,0.07,0.04,0.01,0.02,0.03,0.10,0.06,0.08
120797-07092017,0.05,0.02,0.07,0.06,0.05,0.05,0.01,0.10
120800-07092017,0.11,0.05,0.03,0.07,0.01,0.09,0.07,0.07
120802-07092017,0.07,0.02,0.06,0.06,0.03,0.04,0.03,0.07
120807-07092017,0.10,0.04,0.04,0.06,0.00,0.07,0.06,0.05
120808-07092017,0.05,0.03,0.07,0.07,0.04,0.05,0.01,0.09
120815-07092017,0.03,0.02,0.04,0.03,0.06,0.07,0.03,0.11
120817-07092017,0.12,0.07,0.12,0.12,0.09,0.01,0.07,0.04
120821-07092017,0.22,0.25,0.20,0.21,0.23,0.31,0.26,0.28
120837-07092017,0.05,0.02,0.07,0.06,0.05,0.06,0.00,0.10
120844-07092017,0.16,0.11,0.08,0.12,0.09,0.17,0.12,0.14
120871-07092017,0.05,0.02,0.07,0.06,0.05,0.05,0.01,0.10
120882-07092017,0.10,0.04,0.02,0.05,0.03,0.10,0.06,0.08
120885-07092017,0.17,0.11,0.10,0.13,0.08,0.07,0.13,0.03
120892-07092017,0.12,0.06,0.06,0.07,0.02,0.05,0.07,0.03
120903-07092017,0.05,0.03,0.07,0.07,0.06,0.07,0.01,0.11
120905-07092017,0.04,0.02,0.07,0.06,0.06,0.07,0.01,0.11
120917-07092017,0.07,0.04,0.09,0.08,0.06,0.03,0.03,0.07
120927-07092017,0.06,0.04,0.09,0.08,0.05,0.04,0.02,0.08
120972-07092017,0.23,0.17,0.15,0.19,0.13,0.13,0.19,0.08
120979-07092017,0.06,0.03,0.08,0.07,0.05,0.04,0.02,0.09
121012-07092017,0.22,0.16,0.14,0.17,0.12,0.18,0.17,0.16
121033-07092017,0.06,0.04,0.09,0.08,0.06,0.07,0.03,0.11
121034-07092017,0.21,0.15,0.13,0.17,0.11,0.12,0.17,0.09
121047-07092017,0.04,0.02,0.07,0.06,0.06,0.07,0.01,0.11
121049-07092017,0.09,0.06,0.11,0.10,0.07,0.02,0.05,0.06
121052-07092017,0.06,0.03,0.07,0.07,0.04,0.04,0.02,0.09
121089-07092017,0.12,0.15,0.10,0.11,0.13,0.21,0.16,0.18
121099-07092017,0.14,0.08,0.06,0.10,0.05,0.13,0.10,0.11
121104-07092017,0.13,0.15,0.11,0.11,0.14,0.21,0.17,0.19
121122-07092017,0.17,0.17,0.12,0.13,0.15,0.23,0.18,0.20
121142-07092017,0.04,0.03,0.07,0.06,0.07,0.08,0.02,0.12
121145-07092017,0.13,0.11,0.06,0.09,0.10,0.17,0.13,0.15
121174-07092017,0.04,0.03,0.06,0.05,0.06,0.07,0.01,0.11
121191-07092017,0.06,0.02,0.03,0.03,0.03,0.08,0.03,0.08
121193-07092017,0.05,0.01,0.05,0.04,0.05,0.06,0.01,0.10
121202-08092017,0.04,0.02,0.07,0.06,0.05,0.06,0.00,0.10
121205-08092017,0.17,0.11,0.09,0.13,0.08,0.12,0.13,0.10
121210-08092017,0.13,0.15,0.10,0.11,0.13,0.21,0.16,0.19
121211-08092017,0.04,0.03,0.07,0.06,0.07,0.08,0.02,0.12
121219-08092017,0.06,0.03,0.08,0.07,0.06,0.07,0.02,0.11
121237-08092017,0.10,0.06,0.11,0.10,0.07,0.00,0.06,0.04
121261-08092017,0.26,0.21,0.19,0.22,0.17,0.16,0.22,0.12
121286-08092017,0.28,0.22,0.20,0.23,0.18,0.17,0.23,0.13
121294-08092017,0.05,0.03,0.07,0.07,0.04,0.05,0.01,0.09
121301-08092017,0.02,0.05,0.07,0.04,0.09,0.10,0.05,0.14
121331-08092017,0.15,0.09,0.10,0.11,0.06,0.05,0.11,0.01
121337-08092017,0.16,0.18,0.14,0.14,0.17,0.24,0.20,0.22
121338-08092017,0.12,0.06,0.06,0.08,0.02,0.05,0.08,0.03
121390-08092017,0.05,0.02,0.07,0.06,0.05,0.06,0.01,0.10
121393-08092017,0.08,0.02,0.05,0.04,0.02,0.06,0.04,0.07
121404-08092017,0.12,0.14,0.09,0.10,0.13,0.20,0.16,0.18
121431-08092017,0.14,0.08,0.09,0.10,0.06,0.04,0.10,0.01
121442-08092017,0.18,0.12,0.10,0.13,0.08,0.07,0.13,0.03
121447-08092017,0.11,0.09,0.04,0.06,0.08,0.15,0.10,0.13
121456-08092017,0.18,0.12,0.10,0.14,0.09,0.08,0.14,0.04
121514-08092017,0.04,0.03,0.07,0.06,0.06,0.07,0.01,0.11
121515-08092017,0.13,0.15,0.10,0.11,0.14,0.21,0.17,0.19
121519-08092017,0.25,0.20,0.18,0.21,0.16,0.15,0.21,0.11
121528-08092017,0.08,0.08,0.04,0.04,0.07,0.14,0.10,0.12
121537-08092017,0.04,0.03,0.07,0.06,0.06,0.07,0.01,0.11
121559-08092017,0.20,0.14,0.12,0.16,0.10,0.16,0.16,0.14
121578-08092017,0.10,0.07,0.12,0.11,0.09,0.01,0.06,0.04
121594-08092017,0.11,0.07,0.12,0.11,0.08,0.01,0.07,0.03
121603-08092017,0.05,0.01,0.04,0.03,0.04,0.07,0.03,0.09
121624-08092017,0.05,0.01,0.06,0.05,0.04,0.05,0.01,0.09
121636-08092017,0.06,0.03,0.08,0.08,0.05,0.05,0.02,0.09
121649-08092017,0.08,0.06,0.01,0.03,0.05,0.12,0.08,0.10
121688-09092017,0.05,0.04,0.03,0.01,0.04,0.10,0.06,0.09
121691-09092017,0.07,0.05,0.10,0.09,0.07,0.04,0.04,0.08
121742-09092017,0.04,0.03,0.04,0.01,0.06,0.09,0.04,0.11
121749-09092017,0.03,0.03,0.05,0.01,0.06,0.09,0.05,0.11
121752-09092017,0.10,0.06,0.03,0.06,0.05,0.12,0.08,0.10
121761-09092017,0.19,0.22,0.17,0.18,0.20,0.28,0.23,0.26
121772-09092017,0.03,0.03,0.05,0.03,0.07,0.08,0.03,0.12
121775-09092017,0.05,0.03,0.08,0.07,0.04,0.05,0.02,0.09
121779-09092017,0.03,0.03,0.05,0.03,0.07,0.08,0.03,0.12
121781-09092017,0.02,0.03,0.05,0.02,0.07,0.08,0.04,0.12
121790-09092017,0.19,0.13,0.11,0.15,0.09,0.08,0.15,0.04
121793-09092017,0.03,0.03,0.05,0.03,0.07,0.08,0.03,0.12
121807-09092017,0.05,0.01,0.06,0.06,0.04,0.05,0.01,0.09
121841-09092017,0.27,0.22,0.20,0.23,0.18,0.17,0.23,0.13
121846-09092017,0.19,0.14,0.12,0.15,0.10,0.09,0.15,0.06
121853-09092017,0.17,0.11,0.09,0.13,0.08,0.12,0.13,0.09
121884-09092017,0.03,0.03,0.06,0.05,0.06,0.07,0.01,0.11
121888-09092017,0.03,0.03,0.04,0.01,0.06,0.09,0.05,0.11
121899-09092017,0.05,0.04,0.08,0.07,0.07,0.08,0.02,0.12
121900-09092017,0.13,0.08,0.08,0.09,0.04,0.03,0.09,0.01
121905-09092017,0.08,0.02,0.06,0.05,0.02,0.05,0.04,0.07
121909-09092017,0.05,0.04,0.08,0.07,0.07,0.08,0.02,0.12
121940-09092017,0.05,0.02,0.07,0.06,0.05,0.06,0.01,0.10
121988-09092017,0.14,0.16,0.11,0.12,0.15,0.22,0.18,0.20
121994-09092017,0.16,0.10,0.08,0.12,0.07,0.06,0.12,0.04
122016-09092017,0.05,0.04,0.03,0.00,0.05,0.10,0.06,0.10
122039-09092017,0.13,0.07,0.07,0.09,0.04,0.04,0.09,0.02
122063-09092017,0.10,0.06,0.02,0.06,0.04,0.12,0.07,0.09
122078-09092017,0.03,0.03,0.06,0.05,0.06,0.07,0.01,0.11
122118-09092017,0.09,0.11,0.06,0.07,0.10,0.17,0.13,0.15
122120-09092017,0.10,0.04,0.02,0.06,0.02,0.09,0.06,0.07
122123-09092017,0.26,0.20,0.18,0.21,0.16,0.15,0.21,0.11
122138-09092017,0.17,0.17,0.12,0.13,0.15,0.23,0.18,0.20
122187-10092017,0.30,0.24,0.22,0.26,0.20,0.20,0.26,0.15
122199-10092017,0.11,0.05,0.06,0.07,0.02,0.05,0.07,0.04
122236-10092017,0.12,0.10,0.05,0.08,0.09,0.16,0.11,0.14
122332-10092017,0.07,0.05,0.09,0.09,0.06,0.06,0.03,0.11
122383-10092017,0.06,0.04,0.02,0.02,0.03,0.10,0.06,0.08
122403-10092017,0.04,0.04,0.04,0.00,0.05,0.10,0.06,0.10
122409-10092017,0.11,0.13,0.08,0.09,0.12,0.19,0.14,0.17
122410-10092017,0.07,0.02,0.07,0.06,0.03,0.04,0.02,0.08
