IncidentNumber,Dowgate,Euston,Holloway,Islington,Kentish Town,Paddington,Soho,West Hampstead
026082-02032017,0.10,0.12,0.08,0.08,0.11,0.18,0.14,0.16
026089-02032017,0.09,0.04,0.04,0.05,0.00,0.07,0.05,0.05
026093-02032017,0.01,0.04,0.06,0.03,0.08,0.09,0.04,0.13
026101-02032017,0.09,0.04,0.02,0.05,0.02,0.09,0.05,0.07
026103-02032017,0.23,0.26,0.21,0.21,0.24,0.32,0.27,0.29
026123-03032017,0.04,0.02,0.06,0.06,0.06,0.07,0.01,0.11
026125-03032017,0.07,0.02,0.07,0.06,0.03,0.04,0.03,0.08
026132-03032017,0.05,0.06,0.03,0.02,0.05,0.12,0.07,0.10
026136-03032017,0.27,0.21,0.19,0.22,0.17,0.16,0.22,0.12
026156-03032017,0.05,0.02,0.07,0.07,0.04,0.05,0.01,0.09
026175-03032017,0.07,0.03,0.08,0.07,0.04,0.03,0.03,0.07
026176-03032017,0.11,0.06,0.03,0.06,0.05,0.12,0.08,0.10
026178-03032017,0.17,0.19,0.15,0.15,0.18,0.25,0.21,0.23
026190-03032017,0.05,0.03,0.08,0.07,0.04,0.05,0.02,0.09
026208-03032017,0.18,0.20,0.15,0.16,0.19,0.26,0.22,0.24
026224-03032017,0.03,0.03,0.05,0.04,0.07,0.07,0.01,0.12
026225-03032017,0.01,0.06,0.08,0.04,0.09,0.10,0.05,0.14
026229-03032017,0.06,0.01,0.06,0.05,0.04,0.05,0.02,0.09
026233-03032017,0.05,0.02,0.07,0.06,0.04,0.05,0.01,0.09
026247-03032017,0.19,0.21,0.16,0.17,0.19,0.27,0.22,0.25
026250-03032017,0.16,0.10,0.08,0.12,0.06,0.12,0.12,0.09
026254-03032017,0.22,0.25,0.20,0.21,0.23,0.31,0.26,0.29
026264-03032017,0.16,0.10,0.08,0.12,0.06,0.12,0.12,0.09
026273-03032017,0.10,0.07,0.12,0.11,0.09,0.03,0.06,0.07
026308-03032017,0.15,0.09,0.09,0.11,0.06,0.05,0.11,0.01
026309-03032017,0.03,0.05,0.04,0.01,0.06,0.11,0.07,0.11
026321-03032017,0.01,0.05,0.07,0.04,0.09,0.10,0.04,0.14
026324-03032017,0.19,0.14,0.12,0.15,0.10,0.09,0.15,0.05
026326-03032017,0.09,0.05,0.10,0.10,0.07,0.01,0.05,0.05
026329-03032017,0.16,0.10,0.08,0.12,0.07,0.09,0.12,0.06
026348-03032017,0.04,0.05,0.04,0.00,0.06,0.11,0.06,0.11
026369-03032017,0.19,0.14,0.12,0.15,0.10,0.09,0.15,0.05
026373-03032017,0.03,0.03,0.05,0.03,0.07,0.08,0.03,0.12
026375-03032017,0.29,0.23,0.21,0.25,0.20,0.19,0.25,0.14
026377-03032017,0.05,0.02,0.07,0.06,0.05,0.06,0.01,0.10
026387-03032017,0.12,0.14,0.09,0.10,0.13,0.20,0.16,0.18
026420-03032017,0.10,0.09,0.04,0.06,0.08,0.15,0.10,0.13
026423-03032017,0.06,0.03,0.08,0.07,0.05,0.04,0.02,0.08
026433-03032017,0.06,0.00,0.05,0.05,0.03,0.06,0.02,0.08
026434-03032017,0.21,0.15,0.13,0.16,0.14,0.21,0.17,0.19
026437-03032017,0.06,0.03,0.08,0.07,0.05,0.04,0.02,0.08
026454-03032017,0.02,0.04,0.06,0.03,0.08,0.09,0.03,0.13
026464-03032017,0.25,0.19,0.17,0.21,0.16,0.15,0.21,0.11
026465-03032017,0.24,0.18,0.16,0.20,0.15,0.14,0.20,0.11
026485-03032017,0.15,0.18,0.13,0.14,0.16,0.24,0.19,0.21
026491-03032017,0.04,0.02,0.06,0.05,0.05,0.06,0.00,0.10
026514-03032017,0.11,0.09,0.04,0.06,0.08,0.15,0.11,0.13
026528-03032017,0.07,0.02,0.05,0.04,0.02,0.06,0.03,0.07
026546-04032017,0.01,0.05,0.07,0.04,0.09,0.10,0.04,0.14
026570-04032017,0.05,0.02,0.07,0.06,0.05,0.06,0.00,0.10
026571-04032017,0.04,0.02,0.06,0.05,0.05,0.06,0.01,0.10
026579-04032017,0.05,0.02,0.03,0.02,0.05,0.08,0.03,0.10
026613-04032017,0.05,0.03,0.08,0.07,0.06,0.07,0.02,0.11
026619-04032017,0.04,0.04,0.04,0.00,0.06,0.10,0.05,0.11
026637-04032017,0.05,0.02,0.07,0.06,0.05,0.06,0.00,0.10
026638-04032017,0.24,0.18,0.16,0.20,0.15,0.14,0.20,0.10
026645-04032017,0.12,0.06,0.06,0.08,0.02,0.05,0.08,0.03
026649-04032017,0.04,0.04,0.04,0.00,0.05,0.10,0.05,0.10
026659-04032017,0.06,0.01,0.06,0.05,0.03,0.05,0.02,0.08
026696-04032017,0.09,0.03,0.04,0.05,0.00,0.07,0.05,0.05
026723-04032017,0.09,0.03,0.04,0.05,0.00,0.07,0.05,0.05
026728-04032017,0.01,0.04,0.06,0.03,0.08,0.09,0.03,0.13
026736-04032017,0.06,0.04,0.02,0.02,0.03,0.10,0.06,0.08
026748-04032017,0.23,0.18,0.16,0.19,0.14,0.13,0.19,0.09
026781-04032017,0.13,0.07,0.06,0.09,0.04,0.08,0.09,0.06
026868-04032017,0.05,0.01,0.03,0.03,0.05,0.08,0.03,0.10
026875-04032017,0.18,0.20,0.15,0.16,0.19,0.26,0.22,0.24
026901-04032017,0.05,0.02,0.07,0.06,0.05,0.06,0.00,0.10
026919-04032017,0.01,0.07,0.09,0.05,0.11,0.12,0.05,0.16
026931-04032017,0.06,0.03,0.08,0.07,0.04,0.04,0.02,0.08
026943-04032017,0.12,0.14,0.09,0.10,0.13,0.20,0.16,0.18
026948-04032017,0.10,0.12,0.07,0.08,0.11,0.18,0.14,0.16
026952-04032017,0.09,0.04,0.05,0.05,0.02,0.06,0.05,0.05
026958-04032017,0.09,0.03,0.05,0.05,0.02,0.05,0.05,0.05
026978-04032017,0.18,0.13,0.11,0.14,0.09,0.11,0.14,0.09
026986-05032017,0.06,0.04,0.09,0.08,0.06,0.07,0.03,0.11
026992-05032017,0.04,0.01,0.06,0.06,0.05,0.06,0.00,0.10
026993-05032017,0.05,0.02,0.07,0.06,0.04,0.05,0.01,0.09
027004-05032017,0.05,0.02,0.07,0.06,0.04,0.05,0.01,0.09
027010-05032017,0.05,0.02,0.07,0.06,0.04,0.05,0.01,0.09
027017-05032017,0.05,0.00,0.05,0.04,0.04,0.06,0.01,0.09
027027-05032017,0.04,0.02,0.06,0.05,0.05,0.06,0.01,0.10
027030-05032017,0.05,0.00,0.05,0.04,0.04,0.06,0.01,0.09
027047-05032017,0.05,0.00,0.05,0.04,0.04,0.06,0.01,0.09
027061-05032017,0.04,0.02,0.07,0.06,0.05,0.06,0.01,0.10
027079-05032017,0.01,0.06,0.08,0.04,0.10,0.11,0.04,0.15
027093-05032017,0.06,0.01,0.06,0.05,0.03,0.05,0.02,0.08
027113-05032017,0.21,0.15,0.13,0.16,0.11,0.10,0.16,0.06
027131-05032017,0.08,0.02,0.05,0.05,0.02,0.06,0.04,0.06
027140-05032017,0.06,0.04,0.09,0.08,0.07,0.08,0.02,0.12
027155-05032017,0.04,0.02,0.06,0.05,0.05,0.06,0.01,0.11
027183-05032017,0.07,0.01,0.04,0.03,0.03,0.07,0.03,0.08
027216-05032017,0.06,0.03,0.08,0.07,0.05,0.05,0.02,0.09
027223-05032017,0.07,0.03,0.08,0.07,0.05,0.03,0.03,0.07
027244-05032017,0.10,0.06,0.03,0.06,0.05,0.12,0.08,0.10
027258-05032017,0.16,0.18,0.13,0.14,0.17,0.24,0.20,0.22
027265-05032017,0.08,0.06,0.10,0.10,0.07,0.05,0.04,0.09
027267-05032017,0.11,0.06,0.11,0.10,0.07,0.01,0.07,0.04
027269-05032017,0.08,0.05,0.10,0.09,0.07,0.05,0.04,0.09
027274-05032017,0.04,0.02,0.06,0.06,0.05,0.06,0.00,0.10
027337-05032017,0.02,0.04,0.06,0.02,0.07,0.08,0.04,0.12
027338-05032017,0.05,0.03,0.07,0.07,0.05,0.06,0.01,0.10
027339-05032017,0.05,0.03,0.07,0.07,0.05,0.06,0.01,0.10
027343-05032017,0.01,0.05,0.07,0.04,0.09,0.10,0.04,0.14
027344-05032017,0.05,0.03,0.07,0.07,0.05,0.06,0.01,0.10
027381-06032017,0.17,0.12,0.10,0.13,0.08,0.09,0.13,0.07
027383-06032017,0.13,0.15,0.10,0.11,0.14,0.21,0.16,0.19
027400-06032017,0.09,0.06,0.11,0.10,0.07,0.01,0.05,0.05
027407-06032017,0.14,0.17,0.12,0.13,0.15,0.23,0.18,0.20
027408-06032017,0.19,0.21,0.16,0.17,0.20,0.27,0.23,0.25
027418-06032017,0.04,0.02,0.04,0.03,0.05,0.07,0.03,0.10
027424-06032017,0.04,0.02,0.04,0.03,0.05,0.07,0.03,0.10
027445-06032017,0.05,0.01,0.06,0.05,0.04,0.05,0.01,0.09
027465-06032017,0.07,0.04,0.09,0.08,0.06,0.05,0.03,0.09
027473-06032017,0.19,0.21,0.16,0.17,0.20,0.27,0.23,0.25
027474-06032017,0.05,0.01,0.03,0.03,0.04,0.07,0.03,0.09
027483-06032017,0.06,0.03,0.08,0.07,0.05,0.05,0.02,0.09
027492-06032017,0.12,0.14,0.10,0.10,0.13,0.20,0.16,0.18
027501-06032017,0.03,0.03,0.05,0.05,0.06,0.07,0.01,0.11
027509-06032017,0.04,0.07,0.05,0.03,0.06,0.13,0.08,0.11
027510-06032017,0.27,0.21,0.19,0.23,0.18,0.17,0.23,0.13
